ime_paketa,tip,broj
"""humanize""","""Package""",1
"""humanize""","""Module""",4
"""humanize""","""Function""",31
"""humanize""","""Name""",205
"""humanize""","""Class""",1
"""requests""","""Package""",1
"""requests""","""Function""",238
"""requests""","""Name""",1648
"""requests""","""Module""",17
"""requests""","""Class""",44
"""pygdb""","""Package""",1
"""pygdb""","""Module""",6
"""pygdb""","""Name""",779
"""pygdb""","""Class""",10
"""pygdb""","""Function""",77
"""seaborn""","""Package""",6
"""seaborn""","""Module""",48
"""seaborn""","""Name""",9721
"""seaborn""","""Function""",830
"""seaborn""","""Class""",127
"""pymc""","""Package""",16
"""pymc""","""Module""",88
"""pymc""","""Function""",1914
"""pymc""","""Name""",16430
"""pymc""","""Class""",411